"gene","dnLGD","dnMIS","dnMIS30","dnLGD_pValue","dnLGD_qValue","dnMIS_pValue","dnMIS_qValue","dnMIS30_pValue","dnMIS30_qValue","dnALT_pValue","dnALT_qValue"
"ADAP1",0,3,1,1,1,3.36303881197416e-14,1.59290333329156e-10,2.87634976342997e-06,0.00419194789368801,5.18281074726078e-14,4.26928401815664e-11
"ADNP",36,6,0,2.82469121314938e-74,5.35165997243282e-70,0.0014693064326369,0.897983215249634,1,1,2.57972080251776e-47,2.44376951622508e-43
"AGO3",0,3,3,1,1,0.0259007492899686,1,2.26263314301209e-05,0.0214339237637536,0.0353861440440853,1
"AHDC1",13,4,1,4.36856499110951e-18,5.91191659439719e-15,0.367931007639246,1,0.0348239219876973,1,9.5314501033653e-08,4.63032958098356e-05
"AHNAK",0,3,0,1,1,1,1,1,1,1,1
"ANK2",9,6,1,1.17433537974547e-05,0.0041979166235203,0.991889471541766,1,0.689636448183506,1,0.510385477583321,1
"ARID2",3,2,2,0.0118199292238223,1,0.918199465946825,1,0.0293667926324308,1,0.487650854460623,1
"ASH1L",15,1,0,2.50403209095423e-21,3.64933784578606e-18,0.904281085290555,1,1,1,2.04946876209096e-08,1.04943878828582e-05
"ASXL3",27,0,0,1.40878880085332e-37,3.33636407762087e-34,1,1,1,1,3.59057421031453e-12,2.61642380725458e-09
"BRAF",0,9,2,1,1,1.63928557039829e-12,4.43684348810942e-09,0.00047605817007406,0.300646603007438,5.60775738752097e-12,3.93498412829527e-09
"BRPF1",4,1,0,9.43130588027845e-06,0.00343626002322607,0.657940214046237,1,1,1,0.00770629136487254,1
"CACNA2D3",2,0,0,0.010833952163395,1,1,1,1,1,0.310965219554383,1
"CASZ1",6,2,1,8.64368162063978e-07,0.000372189072692366,0.818658380313889,1,0.218013845628436,1,0.0241037905853352,1
"CDK13",3,12,6,0.000377229986866533,0.117163923461858,4.27862442307573e-09,6.23560140919945e-06,1.86430450932085e-09,3.65665916515203e-06,1.11390015486851e-11,7.537125833621e-09
"CHAMP1",7,1,0,1.64700961126821e-09,1.00658851919637e-06,0.834267559541351,1,1,1,0.00106198283659016,0.324521400355439
"CHD2",14,13,6,3.03982017977009e-15,2.74249681552019e-12,0.00313423237189662,1,1.25528672935572e-05,0.0139898013966902,1.69168959322032e-10,1.03389519461781e-07
"CHD8",21,6,2,5.36009109635829e-35,1.12835873235116e-31,0.00576188769763395,1,0.00617079070668401,1,1.06690591107415e-22,2.02135993912108e-19
"CLTC",5,3,1,5.13195016131566e-07,0.000226116111061131,0.0904810408360461,1,0.172072681781074,1,3.72462784764417e-05,0.0141133598402933
"CNKSR2",5,0,0,8.29927244324505e-08,4.36772265860335e-05,1,1,1,1,0.00132532168169662,0.398564199705144
"CSNK2A1",1,13,6,0.0797617362549162,1,5.62399484477057e-14,2.13104412658046e-10,1.03914600069967e-09,2.460957516157e-06,1.43139468470327e-14,1.29139065220896e-11
"CTCF",3,9,6,2.71142480990239e-06,0.00106176881086735,2.3915948654213e-12,5.66389454003398e-09,4.47693853527066e-13,2.82733591630793e-09,6.80527154216529e-17,7.1629263687702e-14
"CTNNB1",18,1,0,6.4451687535007e-34,1.22110167203824e-30,0.568568644575346,1,1,1,1.24082299749766e-18,1.80835634696851e-15
"CUL3",10,2,0,8.56266203608809e-18,1.0815212995715e-14,0.142654790945817,1,1,1,3.38633676771075e-11,2.21232884141544e-08
"DDX23",0,3,3,1,1,0.0708619713213994,1,0.000979197613109749,0.562178120544767,0.0952688930172541,1
"DDX3X",23,15,4,1.62357364346694e-41,5.12670437485409e-38,1.35009149756686e-12,4.26313891881696e-09,7.03579582875439e-06,0.00888667918477204,5.29271105611218e-42,2.50689259172753e-38
"DLG4",7,2,1,5.28098552854187e-10,3.45012247668118e-07,0.317372583313249,1,0.192843209614427,1,9.57916981206053e-06,0.00378097815123539
"DLX3",0,2,0,1,1,9.77974536841089e-10,1.85287055749913e-06,1,1,1.23891516283783e-09,7.3351520859767e-07
"DNM1",0,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"DSCAM",5,4,0,6.23046732952176e-05,0.0210790060759141,0.38336509114711,1,1,1,0.0105293909473981,1
"DYRK1A",23,5,1,2.9495257617927e-44,1.11763430165849e-40,0.00312243756530434,1,0.0634544301210398,1,1.10013573546999e-29,2.6053964555268e-26
"EEF1A2",0,12,6,1,1,1.43224960911628e-07,0.000142817900496406,9.98683982895263e-09,1.7200969763576e-05,4.37028482823347e-07,0.000200294070962874
"EIF3B",0,2,0,1,1,0.399117497110735,1,1,1,0.465609198728742,1
"ENO3",2,0,0,3.53320861504076e-11,2.67760681682249e-08,1,1,1,1,2.92379816570971e-09,1.67861454689503e-06
"EPHB2",1,0,0,0.134362052107264,1,1,1,1,1,0.738817617059216,1
"FOXP2",3,2,1,0.000295354617043378,0.0932631429083973,0.201337417771634,1,0.00986301185868681,1,0.00298732985916544,0.808542164453548
"GABRB3",1,6,0,0.0915206914954569,1,0.0001162184489198,0.0815509160457236,1,1,2.61387547327956e-05,0.0101066295340315
"GABRG2",1,4,3,0.24121045134791,1,0.152263241592568,1,0.00128900276404584,0.697755610503212,0.0869825335716555,1
"GATAD2B",10,2,0,1.78539341156034e-17,1.98976844561307e-14,0.167700261096572,1,1,1,1.04561423215721e-10,6.60340241415016e-08
"GIGYF2",1,3,0,0.145423337001177,1,0.068694244258673,1,1,1,0.0251443873847629,1
"GRIN2B",4,16,7,3.03881243522653e-05,0.0106617297032966,2.58720724170664e-11,5.44635871126378e-08,6.33210402704722e-11,2.39936085792873e-07,9.52768844592133e-15,9.02557926482128e-12
"HIST1H1E",2,0,0,0.000760711361536397,0.225194335244821,1,1,1,1,0.0810253742465058,1
"HIST1H2AC",0,2,2,1,1,0.0190596778725774,1,0.000260996761855259,0.183142394448509,0.0228232853664236,1
"HNRNPF",0,2,0,1,1,0.178810901367176,1,1,1,0.205313637024503,1
"HNRNPK",2,2,2,0.0011734738510987,0.331830381834568,0.0393050380247699,1,0.000241605153165934,0.176055816610838,0.000524362163796063,0.17740295634429
"HNRNPR",0,1,0,1,1,0.190815205448674,1,1,1,0.213314792145965,1
"HNRNPU",7,2,0,1.15799523054304e-37,3.13419680540978e-34,8.39005339968593e-09,9.9348719819031e-06,1,1,9.05354055035252e-41,3.43056758533958e-37
"HNRNPUL1",0,1,0,1,1,0.345220904063627,1,1,1,0.382136145170921,1
"ILF2",1,0,0,0.0162711169895799,1,1,1,1,1,0.112170231615335,1
"KANSL1",8,2,1,9.94769408310094e-10,6.28230040328102e-07,0.699585977627801,1,0.11846942579538,1,0.000542737391597954,0.18039829160026
"KAT6A",10,5,0,1.90849298549977e-12,1.57210035231647e-09,0.120845499053932,1,1,1,4.44017258547488e-07,0.000200294070962874
"KAT6B",13,3,1,1.28152434884421e-17,1.51748501957515e-14,0.452956505953754,1,0.0768706855673485,1,4.44434651404075e-08,2.21585760671095e-05
"KATNAL2",2,0,0,0.0118967358309708,1,1,1,1,1,0.335482611783496,1
"KCNQ3",0,8,7,1,1,8.80304320451951e-05,0.0641470986741641,7.28609468887685e-10,1.97203357107801e-06,0.000197768105996788,0.0693873062262063
"KIAA2022",6,2,0,4.07932821281431e-07,0.000188504761756048,0.738094007478741,1,1,1,0.00981387463877027,1
"KIF5C",1,4,4,0.152364461921169,1,0.0255805344217315,1,0.000104717678886463,0.0826658810076219,0.00951142176971185,1
"KMT2A",36,9,3,4.354452475813e-54,4.12497283033766e-50,0.0258361400827182,1,0.00503636355777477,1,7.06102060124696e-29,1.48642329234694e-25
"KMT2E",2,0,0,0.0228232853664236,1,1,1,1,1,0.6040014298908,1
"LEO1",2,2,1,1.07743128681022e-10,7.41551536336528e-08,5.61959261324334e-09,7.09792011003388e-06,1.86631908460392e-05,0.0186101480931083,8.84088905765481e-18,9.85291082860753e-15
"MAPK3",0,2,1,1,1,0.0207952850800035,1,0.0246590159924154,1,0.0259259538653399,1
"MEF2C",4,7,1,9.24232671872867e-08,4.73257086521712e-05,4.81665492535916e-08,5.06979690088082e-05,0.0323989037519333,1,2.08274272049243e-13,1.6441518159354e-10
